Division,Division_Description,Sub_Division,Sub_Division_Description,Group,Group_Description,Family,Family_Description,Unit_Code,Unit_Title,Unit_Description,NCO_2004,QP_NOS Reference,QP_NOS Name,NSQF_Level,text
,,,,,,2622 Librarians and Related Information Professionals,,2622.03,,,2432.25,,,,
,,,,,,2622 Librarians and Related Information Professionals,,2622.05,,,2432.40,,,,
,,,,,,2622 Librarians and Related Information Professionals,,2622.0601,,,,,,,
,,,,,,2622 Librarians and Related Information Professionals,,2622.99,,,2432.90,MES/Q3001,Script Editor,7.0,
,,,,,,2631 Economists,,2631.01,,,2441.10,,,,
,,,,,,2631 Economists,,2631.02,,,2441.20,,,,
,,,,,,2631 Economists,,2631.03,,,2441.30,,,,
,,,,,,2631 Economists,,2631.99,,,2441.90,,,,
,,,,,,"2632 Sociologists, Anthropologists and Related Professionals",,2632.01,,,2442.10,,,,
,,,,,,"2632 Sociologists, Anthropologists and Related Professionals",,2632.02,,,2442.20,,,,
,,,,,,"2632 Sociologists, Anthropologists and Related Professionals",,2632.03,,,2442.25,,,,
,,,,,,"2632 Sociologists, Anthropologists and Related Professionals",,2632.04,,,2442.30,,,,
,,,,,,"2632 Sociologists, Anthropologists and Related Professionals",,2632.05,,,2442.40,,,,
,,,,,,"2632 Sociologists, Anthropologists and Related Professionals",,2632.06,,,2442.50,,,,
,,,,,,"2632 Sociologists, Anthropologists and Related Professionals",,2632.07,,,2442.60,,,,
,,,,,,"2632 Sociologists, Anthropologists and Related Professionals",,2632.08,,,2442.70,,,,
,,,,,,"2632 Sociologists, Anthropologists and Related Professionals",,2632.09,,,2442.75,,,,
,,,,,,"2632 Sociologists, Anthropologists and Related Professionals",,2632.1,,,2442.77,,,,
,,,,,,"2632 Sociologists, Anthropologists and Related Professionals",,2632.11,,,2442.80,,,,
,,,,,,"2632 Sociologists, Anthropologists and Related Professionals",,2632.12,,,2442.85,,,,
,,,,,,"2632 Sociologists, Anthropologists and Related Professionals",,2632.99,,,2442.90,,,,
,,,,,,"2633 Philosophers, Historians and Political Scientists",,2633.01,,,2443.10,,,,
,,,,,,"2633 Philosophers, Historians and Political Scientists",,2633.02,,,2443.20,,,,
,,,,,,"2633 Philosophers, Historians and Political Scientists",,2633.03,,,2443.30,,,,
,,,,,,"2633 Philosophers, Historians and Political Scientists",,2633.04,,,2443.40,,,,
,,,,,,"2633 Philosophers, Historians and Political Scientists",,2633.05,,,2443.50,,,,
,,,,,,"2633 Philosophers, Historians and Political Scientists",,2633.06,,,2443.60,,,,
,,,,,,"2633 Philosophers, Historians and Political Scientists",,2633.99,,,2443.90,,,,
,,,,,,2634 Psychologists,,2634.01,,,2445.10,,,,
,,,,,,2634 Psychologists,,2634.02,,,2445.20,,,,
,,,,,,2634 Psychologists,,2634.03,,,2445.30,,,,
,,,,,,2634 Psychologists,,2634.04,,,2445.40,,,,
,,,,,,2634 Psychologists,,2634.05,,,2445.50,,,,
,,,,,,2634 Psychologists,,2634.06,,,2445.60,,,,
,,,,,,2634 Psychologists,,2634.07,,,2445.70,,,,
,,,,,,2634 Psychologists,,2634.08,,,2445.80,,,,
,,,,,,2634 Psychologists,,2634.99,,,2445.90,,,,
,,,,,,2635 Social Work and Counselling Professionals,,2635.01,,,2446.10,,,,
,,,,,,2635 Social Work and Counselling Professionals,,2635.02,,,2446.20,,,,
,,,,,,2635 Social Work and Counselling Professionals,,2635.03,,,2446.30,,,,
,,,,,,2635 Social Work and Counselling Professionals,,2635.04,,,2446.40,,,,
,,,,,,2635 Social Work and Counselling Professionals,,2635.05,,,2446.42,,,,
,,,,,,2635 Social Work and Counselling Professionals,,2635.06,,,2446.45,,,,
,,,,,,2635 Social Work and Counselling Professionals,,2635.07,,,2446.50,,,,
,,,,,,2635 Social Work and Counselling Professionals,,2635.08,,,2446.55,,,,
,,,,,,2635 Social Work and Counselling Professionals,,2635.09,,,2446.60,,,,
,,,,,,2635 Social Work and Counselling Professionals,,2635.1,,,2446.80,,,,
,,,,,,2635 Social Work and Counselling Professionals,,2635.11,,,2446.85,,,,
,,,,,,2635 Social Work and Counselling Professionals,,2635.99,,,2446.90,,,,
,,,,,,2636 Religious Professionals,,2636.01,,,2461.10,,,,
,,,,,,2636 Religious Professionals,,2636.02,,,2462.10,,,,
,,,,,,2636 Religious Professionals,,2636.99,,,2462.90,,,,
,,,,,,2641 Authors and Related Writers,,2641.01,,,2451.10,,,,
,,,,,,2641 Authors and Related Writers,,2641.02,,,2451.15,,,,
,,,,,,2641 Authors and Related Writers,,2641.03,,,2451.20,,,,
,,,,,,2641 Authors and Related Writers,,2641.0302,,,,,,,
,,,,,,2641 Authors and Related Writers,,2641.04,,,2451.25,MES/Q3003,Script Researcher,5.0,
,,,,,,2641 Authors and Related Writers,,2641.05,,,2451.65,,,,
,,,,,,2641 Authors and Related Writers,,2641.0601,,,2451.70,,,,
,,,,,,2641 Authors and Related Writers,,2641.0602,,,,,,,
,,,,,,2641 Authors and Related Writers,,2641.0701,,,,SSC/Q2701,Associate-Editorial,7.0,
,,,,,,2641 Authors and Related Writers,,2641.0801,,,,SSC/Q2801,Associate-Learning,7.0,
,,,,,,2641 Authors and Related Writers,,2641.0901,,,,SSC/Q6801,Technical Writer,5.0,
,,,,,,2641 Authors and Related Writers,,2641.0903,,,,SSC/Q4501,Technical Writer,7.0,
,,,,,,2641 Authors and Related Writers,,2641.99,,,2451.90,SSC/Q6802,Language Translator,7.0,
,,,,,,2642 Journalists,,2642.01,,,2451.30,,,,
,,,,,,2642 Journalists,,2642.02,,,2451.35,,,,
,,,,,,2642 Journalists,,2642.03,,,2451.40,,,,
,,,,,,2642 Journalists,,2642.04,,,2451.45,,,,
,,,,,,2642 Journalists,,2642.05,,,2451.55,,,,
,,,,,,2642 Journalists,,2642.06,,,2451.60,,,,
,,,,,,"2643 Translators, Interpreters and Other Linguists",,2643.01,,,2444.10,,,,
,,,,,,"2643 Translators, Interpreters and Other Linguists",,2643.02,,,2444.20,,,,
,,,,,,"2643 Translators, Interpreters and Other Linguists",,2643.03,,,2444.30,,,,
,,,,,,"2643 Translators, Interpreters and Other Linguists",,2643.0402,,,,SSC/Q0506,Language Translator,7.0,
,,,,,,"2643 Translators, Interpreters and Other Linguists",,2643.99,,,2444.90,MES/Q0101,Voice-over Artist,4.0,
,,,,,,2651 Visual Artists,,2651.01,,,2452.10,,,,
,,,,,,2651 Visual Artists,,2651.02,,,2452.20,,,,
,,,,,,2651 Visual Artists,,2651.03,,,2452.30,,,,
,,,,,,2651 Visual Artists,,2651.04,,,2452.40,,,,
,,,,,,2651 Visual Artists,,2651.05,,,2452.50,,,,
,,,,,,2651 Visual Artists,,2651.06,,,2452.55,,,,
,,,,,,2651 Visual Artists,,2651.99,,,2452.90,,,,
,,,,,,"2652 Musicians, Singers and Composers",,2652.01,,,2453.10,,,,
,,,,,,"2652 Musicians, Singers and Composers",,2652.02,,,2453.20,,,,
,,,,,,"2652 Musicians, Singers and Composers",,2652.03,,,2453.30,,,,
,,,,,,"2652 Musicians, Singers and Composers",,2652.04,,,2453.40,,,,
,,,,,,"2652 Musicians, Singers and Composers",,2652.05,,,2453.50,,,,
,,,,,,"2652 Musicians, Singers and Composers",,2652.06,,,2453.60,,,,
,,,,,,"2652 Musicians, Singers and Composers",,2652.99,,,2453.90,,,,
,,,,,,2653 Dancers and Choreographers,,2653.01,,,2454.10,,,,
,,,,,,2653 Dancers and Choreographers,,2653.02,,,2454.20,,,,
,,,,,,2653 Dancers and Choreographers,,2653.03,,,2454.30,,,,
,,,,,,2653 Dancers and Choreographers,,2653.99,,,2454.90,,,,
,,,,,,"2654 Film, Stage and Related Directors and Producers",,2654.01,,,2455.10,,,,
,,,,,,"2654 Film, Stage and Related Directors and Producers",,2654.02,,,2455.20,,,,
,,,,,,"2654 Film, Stage and Related Directors and Producers",,2654.03,,,2455.30,,,,
,,,,,,"2654 Film, Stage and Related Directors and Producers",,2654.0351,,,,,,,
,,,,,,"2654 Film, Stage and Related Directors and Producers",,2654.04,,,2455.40,,,,
,,,,,,"2654 Film, Stage and Related Directors and Producers",,2654.05,,,1229.10,,,,
,,,,,,"2654 Film, Stage and Related Directors and Producers",,2654.06,,,1229.30,,,,
,,,,,,"2654 Film, Stage and Related Directors and Producers",,2654.07,,,1229.40,,,,
,,,,,,"2654 Film, Stage and Related Directors and Producers",,2654.08,,,1229.50,,,,
,,,,,,"2654 Film, Stage and Related Directors and Producers",,2654.0901,,,,,,,
,,,,,,"2654 Film, Stage and Related Directors and Producers",,2654.99,,,2455.90,,,,
,,,,,,2655 Actors,,2655.01,,,2455.50,,,,
,,,,,,2655 Actors,,2655.02,,,2455.60,,,,
,,,,,,2655 Actors,,2655.0301,,,,,,,
,,,,,,"2656 Announcers on Radio, Television and Other Media",,2656.01,,,3472.10,CON/Q0402,Assistant Laboratory and Field Technician,2.0,
,,,,,,"2656 Announcers on Radio, Television and Other Media",,2656.02,,,3472.20,,,,
,,,,,,"2656 Announcers on Radio, Television and Other Media",,2656.99,,,3472.90,,,,
,,,,,,"2659 Creative and Performing Artists, Not Elsewhere Classified",,2659.01,,,3474.10,,,,
,,,,,,"2659 Creative and Performing Artists, Not Elsewhere Classified",,2659.02,,,3474.15,,,,
,,,,,,"2659 Creative and Performing Artists, Not Elsewhere Classified",,2659.03,,,3474.20,,,,
,,,,,,"2659 Creative and Performing Artists, Not Elsewhere Classified",,2659.05,,,3474.35,,,,
,,,,,,"2659 Creative and Performing Artists, Not Elsewhere Classified",,2659.06,,,3474.40,,,,
,,,,,,"2659 Creative and Performing Artists, Not Elsewhere Classified",,2659.07,,,3474.42,,,,
,,,,,,"2659 Creative and Performing Artists, Not Elsewhere Classified",,2659.08,,,3474.45,,,,
,,,,,,"2659 Creative and Performing Artists, Not Elsewhere Classified",,2659.09,,,3474.50,,,,
,,,,,,"2659 Creative and Performing Artists, Not Elsewhere Classified",,2659.1,,,3474.55,,,,
,,,,,,"2659 Creative and Performing Artists, Not Elsewhere Classified",,2659.11,,,3474.70,,,,
,,,,,,"2659 Creative and Performing Artists, Not Elsewhere Classified",,2659.12,,,3474.75,,,,
,,,,,,"2659 Creative and Performing Artists, Not Elsewhere Classified",,2659.13,,,3474.60,,,,
,,,,,,"2659 Creative and Performing Artists, Not Elsewhere Classified",,2659.14,,,3474.65,,,,
,,,,,,3111 Chemical and Physical Science Technicians,,3111.01,,,3111.10,,,,
,,,,,,3111 Chemical and Physical Science Technicians,,3111.02,,,3111.20,,,,
,,,,,,3111 Chemical and Physical Science Technicians,,3111.03,,,3111.30,,,,
,,,,,,3111 Chemical and Physical Science Technicians,,3111.04,,,3111.35,,,,
,,,,,,3111 Chemical and Physical Science Technicians,,3111.05,,,3111.40,,,,
,,,,,,3111 Chemical and Physical Science Technicians,,3111.06,,,3111.50,,,,
,,,,,,3111 Chemical and Physical Science Technicians,,3111.07,,,3111.60,,,,
,,,,,,3111 Chemical and Physical Science Technicians,,3111.99,,,3111.90,,,,
,,,,,,3112 Civil Engineering Technicians,,3112.01,,,3112.10,,,,
,,,,,,3112 Civil Engineering Technicians,,3112.02,,,3112.20,,,,
,,,,,,3112 Civil Engineering Technicians,,3112.03,,,3112.30,,,,
,,,,,,3112 Civil Engineering Technicians,,3112.04,,,3112.40,,,,
,,,,,,3112 Civil Engineering Technicians,,3112.05,,,3112.50,,,,
,,,,,,3112 Civil Engineering Technicians,,3112.06,,,3112.60,,,,
,,,,,,3112 Civil Engineering Technicians,,3112.0701,,,,,,,
,,,,,,3112 Civil Engineering Technicians,,3112.99,,,3112.90,ASC/Q6803,Maintenance Technician Electrical Level 4,4.0,
,,,,,,3113 Electrical Engineering Technicians,,3113.0101,,,3113.10,,,,
,,,,,,3113 Electrical Engineering Technicians,,3113.0102,,,,ASC/Q6804,Maintenance Technician Electrical Level 3,3.0,
,,,,,,3113 Electrical Engineering Technicians,,3113.02,,,3113.20,ELE/Q3701,Machine Maintenance Technician,4.0,
,,,,,,3113 Electrical Engineering Technicians,,3113.03,,,3113.30,,,,
,,,,,,3113 Electrical Engineering Technicians,,3113.0401,,,,,,,
,,,,,,3113 Electrical Engineering Technicians,,3113.0501,,,,ELE/Q2501,Maintenance Executive,4.0,
,,,,,,3113 Electrical Engineering Technicians,,3113.0601,,,,ELE/Q4501,Maintenance Technician,4.0,
,,,,,,3113 Electrical Engineering Technicians,,3113.0701,,,,ELE/Q6501,Customer Inspection Technician,4.0,
,,,,,,3113 Electrical Engineering Technicians,,3113.0801,,,,ELE/Q5501,In-process and Final Quality Engineer,5.0,
,,,,,,3113 Electrical Engineering Technicians,,3113.0802,,,,ELE/Q5402,Final Testing Technician,4.0,
,,,,,,3113 Electrical Engineering Technicians,,3113.0803,,,,TEL/Q4101,Cluster In Charge,5.0,
,,,,,,3113 Electrical Engineering Technicians,,3113.0901,,,,,,,
,,,,,,3113 Electrical Engineering Technicians,,3113.1001,,,,ELE/Q9301,LED Luminaries Testing and Measurement,4.0,
,,,,,,3113 Electrical Engineering Technicians,,3113.1002,,,,ELE/Q9302,Led Light Repair Technician,4.0,
,,,,,,3114 Electronics Engineering Technicians,,3114.01,,,3114.10,,,,
,,,,,,3114 Electronics Engineering Technicians,,3114.02,,,3152.60,,,,
,,,,,,3114 Electronics Engineering Technicians,,3114.0601,,,,,,,
,,,,,,3114 Electronics Engineering Technicians,,3114.0701,,,,TEL/Q6202,Field Maintenance Engineer,3.0,
,,,,,,3114 Electronics Engineering Technicians,,3114.0801,,,,TEL/Q6205,ICT Engineer,6.0,
,,,,,,3114 Electronics Engineering Technicians,,3114.0802,,,,TEL/NQ6206,ICT Technician,4.0,
,,,,,,3114 Electronics Engineering Technicians,,3114.0804,,,,TEL/Q0102,Broadband Technician,4.0,
,,,,,,3114 Electronics Engineering Technicians,,3114.0901,,,,TEL/Q6301,Installation Engineer-L2 & L3,5.0,
,,,,,,3114 Electronics Engineering Technicians,,3114.0902,,,,TEL/Q6300,Installation Engineer-SDH & DWDM,5.0,
,,,,,,3114 Electronics Engineering Technicians,,3114.1101,,,,TEL/Q6204,Product Specialist Engineer,5.0,
,,,,,,3114 Electronics Engineering Technicians,,3114.1201,,,,TEL/Q6203,Transmission Engineer,6.0,
,,,,,,3114 Electronics Engineering Technicians,,3114.1301,,,,TEL/Q6302,Network Management Engineer,5.0,
,,,,,,3114 Electronics Engineering Technicians,,3114.99,,,3114.90,ASC/Q6504,Supervisor R&D Testing,5.0,
,,,,,,3115 Mechanical Engineering Technicians,,3115.0101,,,3115.10,,,,
,,,,,,3115 Mechanical Engineering Technicians,,3115.0102,,,,ASC/Q6802,Maintenance Technician- Mechanical Level 4,4.0,
,,,,,,3115 Mechanical Engineering Technicians,,3115.0103,,,,ASC/Q6805,Maintenance Technician- Mechanical Level 3,3.0,
,,,,,,3115 Mechanical Engineering Technicians,,3115.0104,,,,ASC/Q1413,Body Shop In Charge,7.0,
,,,,,,3115 Mechanical Engineering Technicians,,3115.0105,,,,ASC/Q1606,Workshop Manager,8.0,
,,,,,,3115 Mechanical Engineering Technicians,,3115.0201,,,3115.20,ASC/Q8405,Testing Manager,7.0,
,,,,,,3115 Mechanical Engineering Technicians,,3115.0202,,,,ASC/Q8403,Test Engineer Product/Vehicle,6.0,
,,,,,,3115 Mechanical Engineering Technicians,,3115.0301,,,,ASC/Q6501,"Executive, Proto Manufacturing",4.0,
,,,,,,3115 Mechanical Engineering Technicians,,3115.0401,,,,ASC/Q6401,Method Study Executive,5.0,
,,,,,,3115 Mechanical Engineering Technicians,,3115.0501,,,,ASC/Q6801,Manager Maintenance Mechanical & Electrical Level 5,5.0,
,,,,,,3115 Mechanical Engineering Technicians,,3115.0601,,,,ASC/Q1403,Auto Service Technician Level 5,5.0,
,,,,,,3115 Mechanical Engineering Technicians,,3115.0602,,,,ASC/Q1404,Auto Service Technician Level 6,6.0,
,,,,,,3115 Mechanical Engineering Technicians,,3115.1,,,3115.30,ASC/Q4001,Tool Designer,5.0,
,,,,,,3115 Mechanical Engineering Technicians,,3115.11,,,3115.40,,,,
,,,,,,3115 Mechanical Engineering Technicians,,3115.12,,,3115.50,,,,
,,,,,,3115 Mechanical Engineering Technicians,,3115.1301,,,,,,,
,,,,,,3115 Mechanical Engineering Technicians,,3115.1302,,,,ASC/Q4102,Tool Room Supervisor,5.0,
,,,,,,3115 Mechanical Engineering Technicians,,3115.14,,,3115.60,PSC/Q0201,Plumbing Draftsman,5.0,
,,,,,,3115 Mechanical Engineering Technicians,,3115.15,,,3115.65,,,,
,,,,,,3115 Mechanical Engineering Technicians,,3115.16,,,3115.70,,,,
,,,,,,3115 Mechanical Engineering Technicians,,3115.99,,,3115.90,,,,
,,,,,,3116 Chemical Engineering Technicians,,3116.01,,,3116.10,,,,
,,,,,,3116 Chemical Engineering Technicians,,3116.02,,,3116.20,,,,
,,,,,,3116 Chemical Engineering Technicians,,3116.03,,,3116.30,,,,
,,,,,,3116 Chemical Engineering Technicians,,3116.04,,,3116.40,,,,
,,,,,,3116 Chemical Engineering Technicians,,3116.05,,,3116.50,,,,
,,,,,,3116 Chemical Engineering Technicians,,3116.06,,,3116.60,,,,
,,,,,,3116 Chemical Engineering Technicians,,3116.99,,,3116.90,,,,
,,,,,,3117 Mining and Metallurgical Technicians,,3117.01,,,3117.10,,,,
,,,,,,3117 Mining and Metallurgical Technicians,,3117.02,,,3117.20,,,,
,,,,,,3117 Mining and Metallurgical Technicians,,3117.03,,,3117.30,,,,
,,,,,,3117 Mining and Metallurgical Technicians,,3117.99,,,3117.90,,,,
,,,,,,3118 Draughtspersons,,3118.01,,,3118.10,,,,
,,,,,,3118 Draughtspersons,,3118.02,,,3118.20,,,,
,,,,,,3118 Draughtspersons,,3118.0201,,,,,,,
,,,,,,3118 Draughtspersons,,3118.03,,,3118.30,ELE/Q7101,Draftsman,5.0,
,,,,,,3118 Draughtspersons,,3118.0301,,,,,,,
,,,,,,3118 Draughtspersons,,3118.0302,,,,ELE/Q1401,Physical Design Engineer,5.0,
,,,,,,3118 Draughtspersons,,3118.0401,,,3118.40,ASC/Q8201,Draughtsman,4.0,
,,,,,,3118 Draughtspersons,,3118.0402,,,,ASC/Q4403,Plastic Moulding Shop Supervisor,5.0,
,,,,,,3118 Draughtspersons,,3118.05,,,3118.50,,,,
,,,,,,3118 Draughtspersons,,3118.06,,,3118.60,,,,
,,,,,,3118 Draughtspersons,,3118.07,,,3118.70,,,,
,,,,,,3118 Draughtspersons,,3118.08,,,3118.80,,,,
,,,,,,3118 Draughtspersons,,3118.09,,,3118.85,,,,
,,,,,,3118 Draughtspersons,,3118.99,,,3118.90,,,,
,,,,,,"3119 Physical and Engineering Science Technicians, Not Elsewhere Classified",,3119.01,,,3119.10,,,,
,,,,,,"3119 Physical and Engineering Science Technicians, Not Elsewhere Classified",,3119.02,,,3119.20,,,,
,,,,,,"3119 Physical and Engineering Science Technicians, Not Elsewhere Classified",,3119.03,,,3119.30,,,,
,,,,,,"3119 Physical and Engineering Science Technicians, Not Elsewhere Classified",,3119.04,,,3119.35,,,,
,,,,,,"3119 Physical and Engineering Science Technicians, Not Elsewhere Classified",,3119.05,,,3119.37,,,,
,,,,,,"3119 Physical and Engineering Science Technicians, Not Elsewhere Classified",,3119.06,,,3119.40,,,,
,,,,,,"3119 Physical and Engineering Science Technicians, Not Elsewhere Classified",,3119.07,,,3119.50,,,,
,,,,,,"3119 Physical and Engineering Science Technicians, Not Elsewhere Classified",,3119.08,,,3151.10,,,,
,,,,,,"3119 Physical and Engineering Science Technicians, Not Elsewhere Classified",,3119.09,,,3151.20,,,,
,,,,,,"3119 Physical and Engineering Science Technicians, Not Elsewhere Classified",,3119.1,,,3151.90,,,,
,,,,,,"3119 Physical and Engineering Science Technicians, Not Elsewhere Classified",,3119.11,,,3139.10,,,,
,,,,,,"3119 Physical and Engineering Science Technicians, Not Elsewhere Classified",,3119.99,,,3139.90,,,,
,,,,,,3121 Mining Supervisors,,3121.01,,,8118.10,,,,
,,,,,,3121 Mining Supervisors,,3121.02,,,8118.15,,,,
,,,,,,3121 Mining Supervisors,,3121.03,,,8118.20,,,,
,,,,,,3121 Mining Supervisors,,3121.04,,,8118.25,,,,
,,,,,,3121 Mining Supervisors,,3121.05,,,8118.30,,,,
,,,,,,3121 Mining Supervisors,,3121.06,,,8118.35,,,,
,,,,,,3121 Mining Supervisors,,3121.07,,,8118.40,,,,
,,,,,,3121 Mining Supervisors,,3121.08,,,8118.50,,,,
,,,,,,3121 Mining Supervisors,,3121.99,,,8118.90,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.01,,,8128.10,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.02,,,8128.20,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.03,,,8128.30,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.04,,,8128.40,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.05,,,8128.50,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.0601,,,,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.08,,,8138.10,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.09,,,8138.20,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.1,,,8148.10,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.11,,,8148.20,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.13,,,8158.10,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.14,,,8158.20,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.16,,,8168.10,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.18,,,8218.10,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.19,,,8218.20,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.2,,,8238.10,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.21,,,8238.20,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.22,,,,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.23,,,,ASC/Q4404,Plastic Moulding Shift In Charge,6.0,
,,,,,,3122 Manufacturing Supervisors,,3122.24,,,8248.10,AMH/Q2101,Production Supervisor-Sewing,6.0,
,,,,,,3122 Manufacturing Supervisors,,3122.25,,,8248.20,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.26,,,8258.10,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.28,,,8268.10,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.29,,,8268.20,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.3,,,8268.30,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.31,,,8268.40,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.32,,,8268.50,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.33,,,8268.60,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.34,,,7435.05,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.345,,,7431.26,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.35,,,7433.05,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.3551,,,,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.36,,,7424.05,ASC/Q3207,Casting Line In charge,6.0,
,,,,,,3122 Manufacturing Supervisors,,3122.38,,,8279.10,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.39,,,8279.20,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.4,,,8290.10,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.41,,,8290.20,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.42,,,7218.10,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.43,,,7218.20,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.4401,,,,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.4402,,,,ASC/Q4503,Forging Shop Shift In charge,6.0,
,,,,,,3122 Manufacturing Supervisors,,3122.4501,,,,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.4502,,,,ASC/Q4502,Forging Shop Supervisor,5.0,
,,,,,,3122 Manufacturing Supervisors,,3122.4601,,,,ASC/Q3405,Press Shop Shift In Charge,6.0,
,,,,,,3122 Manufacturing Supervisors,,3122.4602,,,,ASC/Q3105,Welding Machine Setter,6.0,
,,,,,,3122 Manufacturing Supervisors,,3122.4701,,,,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.4702,,,,ASC/Q3104,Welding Supervisor,5.0,
,,,,,,3122 Manufacturing Supervisors,,3122.49,,,7228.10,G&J/Q2606,Wax Model Making Supervisor,5.0,
,,,,,,3122 Manufacturing Supervisors,,3122.5,,,7228.20,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.52,,,7238.10,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.53,,,7238.20,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.54,,,7238.30,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.56,,,7248.10,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.57,,,7248.20,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.58,,,7248.30,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.59,,,7248.40,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.6,,,7248.50,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.62,,,7318.10,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.63,,,7318.20,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.64,,,7318.30,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.6501,,,,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.6502,,,,G&J/Q2303,Product Development Manager,4.0,
,,,,,,3122 Manufacturing Supervisors,,3122.6503,,,,G&J/Q4202,Planning Supervisor,4.0,
,,,,,,3122 Manufacturing Supervisors,,3122.6504,,,,G&J/Q4404,Blade Sawing Supervisor,5.0,
,,,,,,3122 Manufacturing Supervisors,,3122.6505,,,,G&J/Q4404,Laser Supervisor,5.0,
,,,,,,3122 Manufacturing Supervisors,,3122.6506,,,,G&J/Q4505,Bruting Supervisor,3.0,
,,,,,,3122 Manufacturing Supervisors,,3122.6507,,,,G&J/Q4606,Blocking Supervisor 354 II A,3.0,
,,,,,,3122 Manufacturing Supervisors,,3122.6508,,,,G&J/Q4707,Polishing Supervisor,3.0,
,,,,,,3122 Manufacturing Supervisors,,3122.6509,,,,G&J/Q4909,Final Assortment Supervisor,5.0,
,,,,,,3122 Manufacturing Supervisors,,3122.6511,,,,G&J/Q6707,Supervisor Faceting and Polishing,3.0,
,,,,,,3122 Manufacturing Supervisors,,3122.66,,,7348.10,PSC/Q0114,Plumbing Supervisor,6.0,
,,,,,,3122 Manufacturing Supervisors,,3122.67,,,7348.20,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.69,,,7418.10,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.7,,,7418.20,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.71,,,7418.30,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.72,,,7418.40,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.8001,,,,,,,
,,,,,,3122 Manufacturing Supervisors,,3122.99,,,,,,,
,,,,,,3123 Construction Supervisors,,3123.01,,,7138.10,,,,
,,,,,,3123 Construction Supervisors,,3123.02,,,7138.20,,,,
,,,,,,3123 Construction Supervisors,,3123.03,,,7138.30,,,,
,,,,,,3123 Construction Supervisors,,3123.0301,,,,,,,
,,,,,,3123 Construction Supervisors,,3123.0302,,,,,,,
,,,,,,3123 Construction Supervisors,,3123.04,,,7138.40,ASC/Q3306,Painting and Surface Treatment Line In Charge,6.0,
,,,,,,3123 Construction Supervisors,,3123.05,,,7148.10,,,,
,,,,,,3123 Construction Supervisors,,3123.06,,,,,,,
,,,,,,3123 Construction Supervisors,,3123.07,,,,ASC/Q3305,Painting Supervisor,5.0,
